# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 22: father's stature and son's stature
father_stature,son_stature
67,69.1
66.4,69.1
66.9,69.2
66.6,69
66,69.8
66.1,69.1
67.5,69.9
67.3,69.6
67.1,69.3
67.3,70
67.3,69.9
67.2,69.2
67.5,69.6
68,69.5
67.7,69.1
67.1,69.8
68,69.7
67.1,69.7
67.9,69.3
67.6,69.1
67.2,69.2
67.2,69.1
68.5,69.7
68.7,69.4
68.9,69.7
69,70
68.7,69.5
68,69.9
68.6,70
68.8,69.2
68.4,69.6
68.5,69.6
68.2,69.6
68.9,69.6
68,69
68.2,69.6
68.6,69.2
68.8,69.5
68.2,69.5
68.6,69.6
68.7,69.6
68.2,69.5
68.5,69.8
68.1,70
68.5,69.8
68.4,69.4
69.1,69.5
69.8,69.6
69.6,69.3
69,70
69.8,69.1
70,69.3
69.4,69.6
69.8,69.9
69.9,69.1
70,69.8
69.8,69.9
69.8,69.1
69.8,69
69.9,69.8
69.6,69.3
69.7,69.8
69.1,69.7
69.7,69.1
69,69.5
69.4,69.6
69.2,69.7
69.6,69.9
70,69.3
69.3,69.3
69.1,69.9
69.2,70
69,69.1
69.6,69.5
69.6,69.5
70.4,69.7
71,69.5
70.5,69.2
70.8,70
70.4,69.4
70.3,69.9
70.5,70
70.9,69.4
70.8,69.6
70.1,69.9
70.6,70
70.7,69.5
70.5,70
70.4,69.2
70.1,69.8
70.5,69.4
70.3,69.3
70.8,69.9
70,69.6
70.4,69.5
70.6,69.2
70.7,69.6
71.4,69.1
71.2,69.1
71.3,69
71.9,69.6
71.5,69.6
71.5,69.7
71.4,69.7
72,69.3
71.7,69.9
71.3,69.5
72.7,69.1
72.2,69.2
72.2,69.2
72.8,69.5
73.2,69.8
73,69.6
73.6,69.9
75,69.2
63.2,70.5
64.1,70.3
64.9,70.9
65.9,70.4
65.1,70.7
65.7,71
65.3,70.9
65.1,70.8
65.3,70.7
66.2,70.9
66.5,70.4
66.4,70.6
66.1,70.2
66.2,70.8
66.8,70.1
66.9,70.2
66.7,70.1
66.7,70.5
66.5,70.5
66.9,70.5
66.8,70.3
66.8,70.1
66.3,70.6
66.3,70.3
66.5,70.7
66.4,70.3
66.8,70
66.7,70.4
67.5,70.1
67,70.5
67.5,70.9
67.8,70.3
67,70.2
67.1,71
67.9,70.8
67.7,70.5
67.4,70.8
67.5,70.3
67.8,70.6
67.8,70.4
68.3,70.5
68.2,70
68.2,70.4
68.1,70.5
68.8,70.3
68.8,70.9
68,70
68.7,70.6
68.2,70.6
68.5,70.6
68.3,70.7
68.3,70.1
68.2,70.1
68.3,70.8
68.4,70.5
68.2,70.2
68.2,70.3
68.2,70.4
69,71
69.3,70.6
69.2,70.4
70,71
69.5,70.4
69.9,70.8
69.7,70.9
69.7,70.1
69.6,70.8
69.1,70.8
69.2,70.6
69.8,70.9
69.4,70.7
69.8,70.7
69.8,70.2
69.7,70.5
69.4,70.4
69.3,70
69.8,70.9
69.9,70.7
69.8,70.1
69.9,70.6
69.8,70.2
70.6,70.4
70.9,70.7
70.5,70.7
70.1,70.1
70.5,70.1
70.2,70.4
70.9,70.7
70.6,70.3
70.9,70.2
70.3,70.6
70.3,70.8
70.1,70.2
71,70.6
70.4,70.9
70.8,70.9
70,70.7
70.7,70.8
70.4,70.5
70.3,70.9
71,70.8
71.1,70
71.1,71
71.2,70.2
71.6,70.9
71,70.1
71.8,70.2
71.2,70.2
71,70.6
71.7,70.9
71.6,70.5
71.3,70.4
71.7,70.2
71.6,70.9
71.5,70.6
72.9,70.2
72,70.8
72.4,70.3
72.7,70.8
72.5,70.4
72.2,70.4
74,70.6
73.5,70.9
73.4,70.4
73.1,70.4
74.3,70.4
74.9,70.3
75.8,70.2
64.7,71.9
64.7,71.5
64.9,71.3
65.1,71
65.7,71.3
65.7,71.8
65,71.6
65.8,71.7
66.3,71.4
66.9,71.9
67,71.8
66.8,71.2
66.5,71.1
66,71.3
66.1,71.6
66,71.4
66.3,71.5
67.8,71.5
67.5,71.4
67.7,71.4
67.2,71.7
67.7,71.1
67.8,71.6
67.7,71.9
67.1,71.5
67.5,71.4
67.6,71.8
68.2,71.5
68.1,71.6
69,71.5
68.1,71.1
68.3,71.8
68.4,71.5
68.8,71.3
68.2,71.4
68.4,71.1
68.8,71.7
68.2,71
68.5,71.9
68.6,71.4
68.4,71.5
68.6,71.8
68.3,71.6
68.8,71.8
69,71.6
68.8,71.9
69.7,71.2
69.6,71.8
69.6,71
69,71.4
69.9,71.1
69.5,71.9
69.2,71.3
69.1,72
69.1,71.6
69.1,71.4
69.8,71.8
69.7,71.4
70,72
69.9,71.5
70.9,71.3
70.8,71.6
70.1,71.7
70.4,71.2
70.5,71.9
70.5,71.1
70.2,71.9
70.9,71.1
70.5,71.7
70.8,71.1
70.5,71.1
70.8,71.7
70.7,71.3
70.2,71.6
70.1,71.6
70.6,71.4
71,71.7
70.4,71.9
70.5,72
70.7,72
71,71.6
71.4,71.5
72,71.8
71.3,71.5
72,71.9
71.9,71.5
71.5,72
71.8,71.5
71.9,71.2
71.5,71.5
71.7,71.5
72.6,71.5
72.6,71.8
72.5,71.2
72.3,71.7
72.2,71.9
72.2,71.8
72.5,71.6
72,71.4
73.5,71.1
73.7,71.2
73.3,71.3
73.5,71.5
73.4,71.9
74.1,71
75.1,71.6
65,72.3
66,72.9
65.3,72.1
65.5,72.5
66.8,72.6
66.9,72.3
67.5,72.2
67.6,72.8
67.3,72
67.1,72.1
67.2,72.1
67.2,72.3
67.7,72.1
68.1,72.8
68.3,72.5
68.5,72.9
68.2,72.4
68.5,73
68.9,72.3
69,72.1
68,72.1
69.3,72.1
69.4,72.9
69.3,72.4
69.7,72.6
69.3,72.2
69.8,72
69.5,72.7
69.6,72.2
69.6,72.1
70,72.4
69.8,72.4
70.4,72.8
70.2,72
70.5,72.4
70.2,72.6
70.7,72.3
70.3,72.2
70.7,72.1
70.5,72.7
70.1,72.4
70.6,72.2
70.3,72.4
70.6,72.8
71.4,72.1
71.3,72.9
71.3,72.7
71.2,72.4
71.6,72.5
72,72.1
71.4,72.2
71.7,72.8
71.8,72.3
71.1,72.2
72.9,72.4
72.7,72.3
73,72.1
72.2,72.6
72,72.1
72.4,72.7
72,72.8
72.9,72.3
72.6,72.1
73.6,72.3
73.5,72.5
73.2,72.8
74.5,72.7
65.4,73.5
66.5,73.6
68,73.3
68,73.2
67.3,73.9
68.3,73.4
68.3,73.1
68.4,73.2
68.5,73.7
68.4,73.8
68.1,73.2
68,73.9
70,73.5
69.5,73.5
69.9,73.8
69.7,73.9
69.9,73.1
69.6,73.2
69.9,73.2
70.8,73
71,73.3
70.8,73
70.2,73.6
71,73.8
70.2,74
71.5,73.3
71.1,73
71.9,73.5
71,73.8
71.3,73.2
71.8,73.8
71.6,73.6
71.1,73.3
72.6,73.6
72.1,73.8
72.9,73.9
72,73.4
73,73.3
72,73.1
72,73.1
73.8,73.3
73.9,73.7
73.2,73.4
74.4,73.3
63.2,74.8
65.1,74.1
66.7,74.1
68.3,74.7
68.1,74.2
68.1,74.5
68.8,74.3
68.6,74.3
69.7,74.7
69.6,74.5
70.3,74.4
70.1,74.8
70.9,74.7
71.7,74.9
71.4,74.9
71.8,74.8
71.8,74.8
71.1,74.7
71.5,74.3
71.1,74.5
72.6,74.4
72.9,74.1
72.3,74.1
73.2,74.2
73.2,74.5
73.6,74.9
75,75
75.8,74.2
68.6,75.1
69.8,75.7
69.5,75.6
71.3,75.7
71.5,75.4
73.6,75.5
73.1,75
68.5,76.8
71.2,76.5
72.4,76.4
73.5,76.2
68.1,77.6
70.3,77.4
73.9,77.9
69.8,78.6
70.2,78.7
73.9,78.1
72.6,79.7
73.7,79.5
